bin,item,x,y,z,orientation
0,442,0,0,0,WDH
0,442,498,0,0,WDH
0,442,498,400,0,WDH
0,442,0,400,0,WDH
0,10,996,398,0,DWH
0,152,996,0,0,DWH
0,7,969,0,88,DWH
0,442,0,0,88,WDH
0,442,0,400,88,WDH
0,215,498,377,88,WDH
0,215,498,0,88,WDH
0,92,969,339,93,DWH
0,272,900,522,176,WDH
0,298,18,350,176,DWH
0,326,584,522,176,WDH
0,272,570,0,176,WDH
0,272,570,248,176,WDH
0,326,254,0,176,WDH
0,365,910,261,176,WDH
0,326,254,265,176,WDH
0,365,910,0,176,WDH
0,326,254,530,176,WDH
0,298,18,0,176,DWH
0,101,0,703,176,WDH
0,212,385,0,412,WDH
0,345,978,530,412,DWH
0,212,0,266,412,WDH
0,344,825,0,412,WDH
0,434,254,530,412,WDH
0,441,440,266,412,WDH
0,52,0,493,412,WDH
0,360,825,254,412,WDH
0,241,0,0,412,WDH
0,434,616,530,412,WDH
0,145,1,644,422,WDH
0,113,0,661,529,WDH
0,475,775,0,614,WDH
0,475,775,367,614,WDH
0,179,375,0,614,WDH
0,54,268,543,614,DWH
0,141,23,285,614,WDH
0,375,379,277,614,WDH
0,347,6,0,614,WDH
0,347,406,543,614,WDH
0,120,16,490,615,WDH
0,6,0,661,630,WDH
0,19,994,736,614,WDH
0,115,13,490,728,DWH
0,108,0,0,780,WDH
0,108,400,532,780,WDH
0,109,72,277,780,WDH
0,40,325,277,780,WDH
0,292,860,290,786,DWH
0,98,396,1,786,WDH
0,17,795,7,786,WDH
0,126,31,489,821,WDH
0,164,462,290,854,WDH
0,56,865,0,854,WDH
0,96,865,232,863,WDH
0,190,326,0,863,WDH
0,451,0,0,863,DWH
0,99,1019,492,863,DWH
0,257,462,492,863,WDH
0,58,86,467,877,DWH
0,164,446,264,910,WDH
0,10,844,0,906,WDH
0,323,6,17,967,DWH
0,171,18,397,967,DWH
0,137,401,266,967,WDH
0,319,315,502,967,WDH
0,137,854,242,967,WDH
0,303,787,478,967,WDH
0,311,459,2,969,WDH
0,144,328,57,969,DWH
0,131,891,17,999,WDH
0,249,0,47,1094,WDH
0,302,1011,573,1094,DWH
0,291,0,292,1094,WDH
0,291,0,566,1094,WDH
0,198,338,301,1094,WDH
0,198,687,301,1094,WDH
0,102,1036,273,1094,DWH
0,198,662,584,1094,WDH
0,437,338,557,1094,WDH
0,198,844,8,1094,WDH
0,285,459,2,1103,WDH
0,159,309,7,1099,DWH
0,108,455,7,1223,WDH
0,129,841,273,1301,DWH
0,91,684,573,1301,WDH
0,311,855,0,1301,WDH
0,64,15,7,1301,WDH
0,19,351,292,1301,DWH
0,408,461,281,1301,WDH
0,39,338,581,1308,WDH
0,69,1036,264,1308,DWH
0,316,309,16,1308,WDH
0,319,0,292,1310,DWH
0,83,1020,567,1308,DWH
0,19,751,0,1308,DWH
0,126,390,560,1428,WDH
0,14,790,390,1439,WDH
0,228,684,560,1439,WDH
0,462,0,333,1439,DWH
0,57,1010,390,1439,WDH
0,367,855,0,1439,DWH
0,205,0,0,1439,WDH
0,367,411,0,1439,DWH
0,49,411,390,1439,WDH
0,19,751,144,1445,DWH
0,111,1051,545,1447,DWH
0,112,385,606,1484,WDH
0,343,0,0,1588,WDH
0,261,387,325,1588,WDH
0,30,684,606,1588,DWH
0,222,843,456,1588,WDH
0,222,0,390,1588,DWH
0,459,387,0,1588,WDH
0,459,843,0,1588,DWH
0,48,387,596,1594,WDH
0,246,187,382,1724,WDH
0,60,7,505,1724,WDH
0,380,890,591,1724,WDH
0,60,32,660,1724,DWH
0,60,7,350,1724,WDH
0,306,903,339,1724,WDH
0,306,553,588,1724,WDH
0,306,903,87,1724,WDH
0,197,570,72,1724,WDH
0,306,553,336,1724,WDH
0,246,187,153,1724,WDH
0,246,187,611,1724,WDH
0,95,15,18,1724,DWH
0,22,252,5,1724,WDH
0,470,422,231,1922,WDH
0,470,831,231,1922,WDH
0,67,862,32,1922,WDH
0,55,573,18,1922,WDH
0,219,150,601,1922,WDH
0,374,13,376,1922,WDH
0,219,520,601,1922,WDH
0,79,5,597,1922,DWH
0,123,220,237,1922,WDH
0,373,890,591,1924,WDH
0,20,8,73,1935,DWH
0,134,252,5,1938,WDH
0,4,0,0,2021,DWH
0,21,963,0,2074,WDH
0,21,198,591,2074,WDH
0,92,475,591,2074,WDH
0,138,0,610,2083,DWH
0,444,13,302,2083,WDH
0,133,422,4,2083,WDH
0,99,205,9,2083,DWH
0,96,979,250,2083,DWH
0,257,422,246,2083,WDH
0,96,899,600,2084,WDH
0,99,0,0,2093,DWH
1,364,695,494,0,WDH
1,237,1041,0,0,DWH
1,364,349,247,0,WDH
1,237,1041,389,0,DWH
1,198,0,0,0,WDH
1,198,0,256,0,WDH
1,364,0,512,0,WDH
1,364,349,0,0,WDH
1,364,349,494,0,WDH
1,364,695,0,0,WDH
1,364,695,247,0,WDH
1,75,349,741,0,WDH
1,367,515,450,216,DWH
1,367,850,505,216,WDH
1,367,850,170,216,WDH
1,90,1005,40,216,WDH
1,450,418,1,216,WDH
1,231,345,199,216,WDH
1,231,1,490,216,WDH
1,446,9,82,216,DWH
1,300,375,274,365,WDH
1,467,778,455,365,WDH
1,342,42,482,365,DWH
1,471,268,556,365,WDH
1,405,361,18,365,WDH
1,467,778,70,365,WDH
1,300,0,0,366,DWH
1,466,995,262,548,DWH
1,248,0,262,548,DWH
1,356,402,0,548,WDH
1,259,262,262,548,WDH
1,248,0,0,548,WDH
1,465,262,516,548,WDH
1,50,1083,0,548,DWH
1,74,0,664,548,WDH
1,430,656,543,548,WDH
1,256,767,0,548,WDH
1,29,995,626,548,WDH
1,359,656,262,548,WDH
1,227,1009,252,737,DWH
1,227,19,262,737,DWH
1,34,998,633,737,WDH
1,470,247,262,737,WDH
1,178,188,0,737,WDH
1,274,566,0,737,WDH
1,79,43,0,737,DWH
1,67,278,622,737,WDH
1,417,661,543,737,WDH
