bin,item,x,y,z,orientation
0,72,1057,0,0,DWH
0,72,892,0,0,DWH
0,72,600,534,0,WDH
0,13,600,699,0,WDH
0,2,892,390,0,WDH
0,22,990,534,0,WDH
0,64,592,0,0,WDH
0,65,296,267,0,WDH
0,64,0,534,0,WDH
0,64,592,242,0,WDH
0,65,0,0,0,WDH
0,64,300,534,0,WDH
0,65,0,267,0,WDH
0,65,296,0,0,WDH
0,70,365,496,233,DWH
0,24,584,496,233,WDH
0,4,1067,0,233,DWH
0,53,0,484,233,WDH
0,53,716,0,233,WDH
0,53,365,0,233,WDH
0,66,892,515,233,WDH
0,53,365,248,233,WDH
0,57,0,0,233,WDH
0,57,0,242,233,WDH
0,4,603,673,234,WDH
0,66,892,289,234,WDH
0,7,716,249,233,DWH
0,7,716,248,328,DWH
0,12,400,312,411,WDH
0,71,4,388,411,DWH
0,31,872,0,411,WDH
0,44,621,495,411,DWH
0,29,16,0,411,DWH
0,29,328,0,411,WDH
0,48,865,366,418,DWH
0,60,346,483,417,DWH
0,6,718,31,411,DWH
0,52,919,340,526,DWH
0,12,0,12,572,WDH
0,60,621,483,572,DWH
0,68,0,174,572,WDH
0,69,0,436,572,DWH
0,68,400,50,572,WDH
0,12,456,312,577,WDH
0,50,270,483,577,WDH
0,59,820,13,579,WDH
0,59,913,340,610,DWH
0,10,904,0,706,WDH
0,36,0,0,741,WDH
0,60,354,542,741,WDH
0,60,394,0,741,WDH
0,76,708,542,741,WDH
0,60,0,542,741,WDH
0,9,904,329,741,WDH
0,58,0,313,741,WDH
0,48,769,24,783,WDH
0,3,440,313,743,WDH
0,26,870,542,900,WDH
0,14,605,644,900,WDH
0,14,359,672,900,WDH
0,63,15,451,900,DWH
0,73,842,246,900,WDH
0,73,596,246,900,DWH
0,41,216,451,900,WDH
0,41,64,0,900,WDH
0,73,842,0,900,WDH
0,73,444,0,900,WDH
0,56,158,246,900,WDH
0,18,8,231,900,DWH
0,59,0,0,1106,WDH
0,39,0,327,1106,WDH
0,39,420,0,1106,WDH
0,39,454,327,1106,WDH
0,1,602,618,1106,WDH
0,39,908,327,1106,DWH
0,1,874,0,1106,WDH
0,21,0,618,1106,WDH
0,21,301,618,1106,WDH
0,16,0,192,1238,WDH
0,15,0,25,1238,WDH
0,3,422,165,1238,WDH
0,3,691,615,1238,WDH
0,3,422,390,1238,WDH
0,3,691,165,1238,WDH
0,3,691,390,1238,WDH
0,76,0,426,1238,WDH
0,3,422,615,1238,WDH
0,76,0,633,1238,WDH
0,28,960,348,1238,WDH
0,28,960,594,1238,WDH
0,11,960,83,1238,DWH
0,17,422,5,1238,WDH
0,14,671,3,1238,WDH
0,19,213,25,1238,WDH
0,47,367,188,1395,WDH
0,47,367,514,1395,WDH
0,10,31,511,1392,WDH
0,54,7,188,1401,WDH
0,23,1029,505,1415,DWH
0,35,960,83,1419,DWH
0,54,7,502,1469,WDH
0,5,437,205,1496,DWH
0,5,651,300,1496,WDH
0,5,392,531,1496,DWH
0,46,606,536,1496,WDH
0,20,418,5,1426,WDH
0,11,637,9,1434,WDH
0,19,0,0,1395,WDH
0,25,1029,505,1539,DWH
0,40,0,160,1539,WDH
0,47,0,514,1609,WDH
0,45,984,0,1550,DWH
0,27,381,279,1609,WDH
0,25,671,283,1609,WDH
0,40,648,505,1616,WDH
0,62,637,5,1616,WDH
0,32,13,121,1685,WDH
0,37,962,333,1550,WDH
0,41,268,505,1710,WDH
0,55,7,505,1710,DWH
0,8,1034,537,1682,DWH
0,66,381,191,1746,DWH
0,26,662,234,1761,WDH
0,45,934,0,1761,WDH
0,32,7,134,1828,WDH
0,74,662,451,1762,DWH
0,8,631,0,1839,WDH
0,49,926,333,1865,WDH
0,62,953,579,1865,WDH
0,32,7,134,1972,WDH
0,75,0,518,1904,DWH
0,34,230,511,1907,DWH
0,38,415,501,1907,DWH
0,67,442,191,1930,DWH
0,62,631,206,1972,WDH
1,51,0,372,0,WDH
1,51,358,186,0,WDH
1,51,358,375,0,WDH
1,43,0,0,0,WDH
1,43,358,0,0,WDH
1,43,0,186,0,WDH
1,61,0,561,0,WDH
1,61,358,564,0,WDH
1,42,716,0,0,WDH
1,42,676,186,0,WDH
1,33,676,321,0,WDH
1,34,1055,346,0,DWH
1,34,724,558,0,DWH
1,34,1055,64,0,DWH
1,30,909,628,0,WDH
