bin,item,x,y,z,orientation
0,80,636,0,0,WDH
0,51,318,682,0,WDH
0,42,979,629,0,WDH
0,99,649,645,0,WDH
0,42,979,466,0,WDH
0,99,649,466,0,WDH
0,86,0,460,0,WDH
0,42,954,230,0,WDH
0,98,318,466,0,WDH
0,86,318,230,0,WDH
0,102,0,0,0,WDH
0,102,0,230,0,WDH
0,99,624,230,0,WDH
0,102,318,0,0,WDH
0,103,946,0,0,WDH
0,60,107,706,0,WDH
0,96,681,423,212,DWH
0,50,350,0,212,WDH
0,101,663,0,212,DWH
0,101,35,0,212,DWH
0,81,1017,0,217,DWH
0,82,328,230,217,WDH
0,93,6,423,217,WDH
0,93,351,489,217,WDH
0,96,975,483,217,DWH
0,27,105,696,212,WDH
0,26,272,0,359,WDH
0,24,663,615,359,WDH
0,37,0,0,359,DWH
0,17,663,0,359,WDH
0,17,663,262,359,DWH
0,26,272,181,361,WDH
0,10,1016,0,370,DWH
0,10,952,615,370,WDH
0,4,925,262,370,DWH
0,5,442,423,370,DWH
0,44,6,423,370,WDH
0,23,119,675,374,WDH
0,73,886,511,483,WDH
0,73,886,182,483,WDH
0,88,532,194,483,WDH
0,76,156,9,483,WDH
0,64,124,257,483,WDH
0,88,594,486,483,DWH
0,88,240,548,483,WDH
0,49,30,532,483,DWH
0,2,830,35,483,WDH
0,33,1032,8,483,WDH
0,53,0,0,483,DWH
0,53,0,190,483,DWH
0,55,532,9,483,WDH
0,90,540,628,617,WDH
0,93,928,572,617,WDH
0,93,928,304,617,WDH
0,50,263,398,617,WDH
0,50,219,27,617,WDH
0,45,207,653,617,WDH
0,45,20,507,617,DWH
0,19,576,214,617,WDH
0,58,941,109,617,WDH
0,19,576,421,617,WDH
0,47,532,13,679,WDH
0,23,0,0,679,DWH
0,27,375,261,617,WDH
0,53,185,261,617,WDH
0,59,898,0,767,DWH
0,59,772,468,770,WDH
0,9,185,50,764,WDH
0,9,517,417,764,WDH
0,9,263,417,764,WDH
0,18,576,202,764,WDH
0,57,0,462,770,DWH
0,9,250,629,770,WDH
0,54,504,629,770,WDH
0,40,540,0,780,WDH
0,69,898,0,839,DWH
0,97,807,496,842,WDH
0,54,10,9,786,DWH
0,67,185,27,848,WDH
0,38,250,347,848,WDH
0,57,0,462,860,DWH
0,5,592,188,849,WDH
